,NAME,C17002_001E,C17002_001EA,C17002_001M,C17002_001MA,C17002_002E,C17002_002EA,C17002_002M,C17002_002MA,C17002_003E,C17002_003EA,C17002_003M,C17002_003MA,C17002_004E,C17002_004EA,C17002_004M,C17002_004MA,C17002_005E,C17002_005EA,C17002_005M,C17002_005MA,C17002_006E,C17002_006EA,C17002_006M,C17002_006MA,C17002_007E,C17002_007EA,C17002_007M,C17002_007MA,C17002_008E,C17002_008EA,C17002_008M,C17002_008MA,GEO_ID,NAME,state,county
0,"Jefferson County, Alabama",645037,,2479,,50879,,6658,,54201,,7162,,35330,,8015,,32469,,6646,,37591,,5896,,12815,,3315,,421752,,14001,,0500000US01073,"Jefferson County, Alabama",01,073
1,"Marion County, Indiana",943196,,4653,,74046,,8073,,67308,,9229,,52218,,9014,,58716,,10714,,76776,,8455,,22972,,4194,,591160,,14752,,0500000US18097,"Marion County, Indiana",18,097
2,"Jefferson County, Kentucky",750585,,2300,,46016,,7522,,58743,,7605,,31333,,6738,,29910,,5507,,39034,,5654,,20272,,4041,,525277,,12083,,0500000US21111,"Jefferson County, Kentucky",21,111
3,"Kent County, Michigan",646272,,2038,,34099,,6098,,38783,,6646,,22650,,4540,,28442,,5195,,37836,,5756,,17254,,4244,,467208,,11375,,0500000US26081,"Kent County, Michigan",26,081
4,"St. Louis County, Missouri",972269,,3041,,43144,,6032,,44193,,7128,,30298,,6698,,23185,,4191,,51924,,9025,,18469,,3634,,761056,,13248,,0500000US29189,"St. Louis County, Missouri",29,189
5,"Jackson County, Missouri",691159,,2592,,45217,,5930,,48039,,7574,,22834,,4093,,31782,,5643,,42037,,5987,,22338,,4683,,478912,,10469,,0500000US29095,"Jackson County, Missouri",29,095
6,"St. Louis city, Missouri",291953,,1819,,26395,,4840,,29488,,4055,,16927,,4151,,12059,,3299,,15952,,3036,,9412,,4038,,181720,,7667,,0500000US29510,"St. Louis city, Missouri",29,510
7,"Douglas County, Nebraska",559234,,1875,,22980,,3341,,34076,,5788,,26521,,6462,,21108,,3699,,31614,,5078,,15931,,3545,,407004,,7822,,0500000US31055,"Douglas County, Nebraska",31,055
8,"Mecklenburg County, North Carolina",1093798,,2596,,46276,,5813,,64907,,9464,,41431,,7795,,47680,,7400,,56335,,7900,,31593,,5961,,805576,,15078,,0500000US37119,"Mecklenburg County, North Carolina",37,119
9,"Guilford County, North Carolina",515555,,2245,,35041,,5972,,49741,,9074,,25236,,5816,,22236,,4894,,32032,,5990,,13763,,3610,,337506,,10367,,0500000US37081,"Guilford County, North Carolina",37,081
10,"Hamilton County, Ohio",799030,,1955,,56128,,5671,,59880,,6743,,28505,,5156,,27572,,5435,,46546,,5825,,24685,,4840,,555714,,11501,,0500000US39061,"Hamilton County, Ohio",39,061
11,"Franklin County, Ohio",1286381,,3258,,71726,,8221,,100605,,8669,,54999,,8357,,53460,,9554,,74634,,7751,,34173,,6606,,896784,,16246,,0500000US39049,"Franklin County, Ohio",39,049
12,"Oklahoma County, Oklahoma",782342,,1791,,51383,,6376,,65089,,6141,,38622,,6782,,40501,,8076,,56242,,8192,,22531,,4092,,507974,,10563,,0500000US40109,"Oklahoma County, Oklahoma",40,109
13,"Tulsa County, Oklahoma",641445,,1779,,40602,,4452,,51360,,3920,,31200,,3231,,29555,,4177,,42521,,3838,,19075,,2403,,427132,,8134,,0500000US40143,"Tulsa County, Oklahoma",40,143
14,"Greenville County, South Carolina",511083,,1924,,21664,,4578,,32619,,5973,,21132,,5010,,17492,,3884,,30157,,4896,,13392,,3543,,374627,,8931,,0500000US45045,"Greenville County, South Carolina",45,045
15,"Knox County, Tennessee",458947,,2521,,24705,,4085,,37266,,5858,,17627,,3814,,19699,,4457,,25266,,4107,,14683,,3610,,319701,,8405,,0500000US47093,"Knox County, Tennessee",47,093
16,"Shelby County, Tennessee",919944,,2600,,73462,,10899,,81460,,10632,,46439,,9096,,43368,,7720,,66620,,8984,,29783,,5177,,578812,,15892,,0500000US47157,"Shelby County, Tennessee",47,157
17,"Davidson County, Tennessee",672007,,2856,,35424,,5350,,47689,,7881,,25208,,6839,,27963,,5592,,44185,,6731,,12824,,3301,,478714,,13530,,0500000US47037,"Davidson County, Tennessee",47,037
